county,with_solar,without_solar,total,proportion,proportional_pv,proportional_nopv,nb_nopv,transformation
Augmented,164,6,170,,164,6,0,False
Baihe,0,356,356,0.034512845370819195,3,353,18,True
Cao,12,496,508,0.04924866698982065,5,503,26,False
Daming,8,289,297,0.028793019873969948,3,294,16,False
Gushi,5,712,717,0.06951042171594765,7,710,36,True
Hanbin,1,1871,1872,0.18148327678138634,18,1854,94,True
Heshui,1,783,784,0.07600581677169171,7,777,40,True
Jingyang,0,370,370,0.03587009209888512,3,367,18,True
LanpingBaiandPumi,4,935,939,0.09103247697527872,9,930,48,True
Sheqi,0,291,291,0.028211342704798838,3,288,14,True
Shuangfeng,0,401,401,0.03887542413960252,4,397,20,True
Xuanhua,52,719,771,0.07474551623848764,7,764,40,False
Yanjin,3,264,267,0.025884634028114396,3,264,14,False
Yiyuan,11,460,471,0.04566165777993214,4,467,24,False
Yongshan,0,648,648,0.06282113427047989,6,642,32,True
Yuanling,0,1265,1265,0.12263693650024236,12,1253,64,True
Yuechi,0,358,358,0.0347067377605429,3,355,18,True
